workload,successful_runs,read_operation,write_operation,median_load_throughput_ops_s,median_load_durable_ops_s,median_run_throughput_ops_s,median_run_durable_ops_s,median_read_avg_us,median_read_p95_us,median_read_p99_us,median_read_max_us,median_write_avg_us,median_write_p95_us,median_write_p99_us,median_write_max_us,median_load_imr_wa,median_run_imr_wa,median_load_metadata_wa,median_run_metadata_wa
workloada,3,READ,UPDATE,140252.4544179523,27144.408,11344.299489506522,8291.874,5.055953946057926,8,12,5251,10.31623759990361,14,26,9543,1.000000,1.000000,4.800000,4.687435
workloadb,3,READ,UPDATE,138888.88888888888,26455.026,11851.149561507465,11684.973,4.942005049442457,7,11,2917,12.60852407261247,17,44,2053,1.000000,1.000000,4.800000,4.778971
workloadc,3,READ,NONE,141242.93785310735,26301.946,13285.505513484788,13095.862,4.62355,7,11,7099,NA,NA,NA,NA,1.000000,1.000000,4.800000,4.829230
workloadd,3,READ,INSERT,132625.99469496022,26518.165,13182.17769575534,12958.404,2.8622179599321314,7,9,2427,8.121698297789083,10,26,3089,1.000000,1.000000,4.800000,4.777353
workloade,3,SCAN,INSERT,144300.1443001443,26730.821,6652.032195835828,6600.660,77.80699962084509,151,170,13375,12.068574836016696,19,36,6763,1.000000,1.000000,4.800000,4.778473
workloadf,3,READ,READ-MODIFY-WRITE,142045.45454545456,24437.928,11532.695190866105,7618.467,4.87979,8,12,2779,11.637023811911973,16,32,7071,1.000000,1.000000,4.800000,4.769546
